iter	Passed	Remaining
197	499	2023
198	500	2015
199	501	2007
200	502	1998
201	503	1990
202	504	1981
203	505	1972
204	506	1966
205	507	1957
206	508	1949
207	509	1941
208	510	1933
209	511	1926
210	512	1918
211	513	1910
212	514	1902
213	515	1894
214	516	1886
215	517	1878
216	518	1871
217	519	1863
218	520	1855
219	521	1850
220	522	1842
221	523	1835
222	524	1828
223	525	1821
224	526	1814
225	527	1807
226	528	1800
227	529	1793
228	530	1786
229	531	1779
230	532	1773
231	533	1766
232	534	1760
233	536	1755
234	537	1749
235	540	1749
236	541	1744
237	543	1738
238	544	1733
239	545	1727
240	546	1721
241	547	1714
242	548	1709
243	552	1712
244	553	1706
245	554	1700
246	555	1694
247	557	1689
248	558	1683
249	559	1677
250	560	1671
251	560	1664
252	561	1658
253	562	1651
254	563	1646
255	564	1641
256	567	1640
257	570	1640
258	571	1635
259	575	1636
260	577	1636
261	579	1631
262	581	1629
263	584	1629
264	586	1625
265	587	1620
266	588	1615
267	589	1611
268	590	1605
269	591	1600
270	592	1594
271	593	1588
272	594	1583
273	595	1578
274	596	1573
275	598	1569
276	599	1563
277	599	1558
278	600	1552
279	601	1547
280	603	1542
281	604	1538
282	605	1534
283	606	1529
284	607	1525
285	609	1522
286	611	1518
287	612	1514
288	613	1510
289	615	1506
290	616	1502
291	617	1498
292	619	1493
293	620	1489
294	621	1485
295	622	1480
296	624	1477
297	625	1474
298	627	1470
299	628	1466
300	629	1462
301	633	1464
302	635	1461
303	636	1457
304	638	1454
305	639	1451
306	641	1448
307	643	1446
308	645	1443
309	647	1441
310	649	1438
311	650	1435
312	656	1440
313	658	1439
314	660	1436
315	663	1435
316	664	1431
317	665	1427
318	666	1422
319	667	1417
320	668	1413
321	669	1408
322	669	1404
323	671	1400
324	672	1396
325	673	1393
326	674	1388
327	675	1384
328	676	1380
329	678	1377
330	680	1374
331	681	1370
332	682	1367
333	683	1363
334	685	1361
335	687	1357
336	688	1355
337	690	1353
338	692	1350
339	693	1346
340	694	1343
341	695	1338
342	696	1334
343	697	1329
344	698	1325
345	699	1321
346	703	1323
347	704	1319
348	705	1315
349	705	1311
350	706	1306
351	707	1302
352	708	1298
353	709	1294
354	710	1290
355	711	1286
356	712	1282
357	713	1278
358	714	1274
359	715	1271
360	716	1267
361	717	1264
362	720	1264
363	721	1260
364	722	1257
365	723	1253
366	724	1250
367	725	1246
368	726	1242
369	727	1239
370	728	1235
371	730	1232
372	731	1229
373	732	1226
374	733	1222
375	734	1218
376	735	1215
377	736	1212
378	737	1208
379	743	1213
380	744	1209
381	746	1206
382	746	1203
383	747	1199
384	749	1196
385	750	1193
386	751	1190
387	754	1189
388	757	1190
389	759	1187
390	760	1184
391	762	1181
392	762	1178
393	764	1175
394	767	1175
395	768	1172
396	769	1168
397	770	1166
398	772	1162
399	773	1159
400	774	1156
401	775	1153
402	776	1149
403	778	1148
404	779	1145
405	780	1142
406	782	1140
407	783	1137
408	784	1134
409	785	1131
410	787	1127
411	788	1124
412	789	1122
413	790	1119
414	791	1115
415	792	1112
416	793	1109
417	794	1106
418	795	1103
419	796	1100
420	797	1097
421	798	1093
422	800	1091
423	801	1088
424	802	1085
425	803	1082
426	804	1079
427	805	1076
428	806	1073
429	807	1070
430	808	1067
431	809	1064
432	810	1061
433	811	1058
434	812	1055
435	814	1054
436	815	1051
437	816	1048
438	817	1045
439	819	1042
440	820	1040
441	822	1037
442	822	1034
443	823	1031
444	825	1030
445	827	1027
446	827	1024
447	828	1021
448	829	1017
449	830	1014
450	831	1011
451	831	1008
452	832	1005
453	833	1002
454	834	999
455	835	996
456	836	994
457	837	991
458	838	988
459	839	985
460	841	983
461	841	980
462	842	977
463	843	974
464	845	972
465	846	969
466	847	967
467	849	965
468	850	963
469	851	960
470	853	958
471	854	955
472	856	954
473	857	951
474	858	949
475	860	947
476	861	944
477	862	941
478	863	939
479	864	936
480	865	934
481	866	931
482	867	929
483	868	926
484	869	923
485	870	921
486	871	918
487	872	915
488	873	913
489	874	910
490	876	908
491	877	906
492	879	904
493	879	901
494	880	898
495	881	895
496	882	892
497	882	890
498	883	887
499	884	884
500	885	881
501	885	878
502	886	875
503	887	873
504	888	870
505	888	867
506	889	865
507	890	862
508	891	859
509	892	857
510	893	855
511	894	852
512	895	850
513	896	847
514	897	845
515	898	842
516	899	840
517	900	837
518	901	835
519	901	832
520	902	829
521	903	827
522	904	824
523	904	821
524	905	819
525	906	816
526	906	814
527	908	812
528	909	809
529	909	806
530	911	804
531	911	802
532	912	799
533	913	796
534	914	794
535	915	792
536	915	789
537	916	787
538	917	784
539	918	782
540	918	779
541	919	777
542	920	774
543	921	772
544	921	769
545	923	767
546	924	765
547	924	762
548	925	760
549	926	758
550	927	755
551	928	753
552	928	750
553	929	748
554	930	746
555	931	743
556	931	741
557	932	738
558	933	736
559	934	733
560	934	731
561	935	729
562	936	726
563	937	724
564	938	722
565	938	719
566	939	717
567	940	715
568	941	712
569	941	710
570	942	708
571	943	706
572	944	703
573	945	701
574	946	699
575	946	697
576	947	694
577	948	692
578	949	690
579	949	687
580	950	685
581	951	683
582	952	681
583	953	679
584	954	677
585	955	675
586	956	673
587	957	671
588	958	668
589	959	666
590	960	664
591	960	662
592	961	660
593	962	657
594	963	655
595	963	653
596	964	651
597	965	648
598	965	646
599	966	644
600	968	643
601	970	641
602	971	639
603	972	637
604	972	635
605	973	632
606	974	630
607	974	628
608	975	626
609	975	623
610	976	621
611	977	619
612	977	617
613	978	615
614	979	612
615	979	610
616	980	608
617	980	606
618	981	604
619	982	602
620	1000	610
621	1002	608
622	1003	607
623	1004	605
624	1005	603
625	1007	601
626	1008	600
627	1009	598
628	1010	596
629	1011	594
630	1012	591
631	1013	589
632	1014	588
633	1016	586
634	1017	584
635	1017	582
636	1018	580
637	1019	578
638	1020	576
639	1021	574
640	1022	572
641	1023	570
642	1023	568
643	1024	566
644	1025	564
645	1026	562
646	1026	560
647	1027	558
648	1028	556
649	1029	554
650	1030	552
651	1031	550
652	1032	548
653	1032	546
654	1033	544
655	1034	542
656	1035	540
657	1036	538
658	1036	536
659	1037	534
660	1038	532
661	1039	530
662	1039	528
663	1040	526
664	1041	524
665	1042	522
666	1042	520
667	1044	519
668	1045	517
669	1046	515
670	1046	513
671	1047	511
672	1048	509
673	1048	507
674	1049	505
675	1050	503
676	1050	501
677	1051	499
678	1052	497
679	1052	495
680	1053	493
681	1054	491
682	1054	489
683	1055	487
684	1056	485
685	1057	484
686	1058	482
687	1059	480
688	1060	478
689	1061	476
690	1061	474
691	1062	472
692	1063	471
693	1063	469
694	1064	467
695	1065	465
696	1066	463
697	1066	461
698	1067	459
699	1068	457
700	1068	455
701	1069	453
702	1070	452
703	1070	450
704	1071	448
705	1072	446
706	1073	444
707	1074	443
708	1075	441
709	1076	439
710	1077	437
711	1077	435
712	1078	434
713	1079	432
714	1079	430
715	1080	428
716	1081	426
717	1081	424
718	1082	423
719	1083	421
720	1084	419
721	1084	417
722	1085	415
723	1086	414
724	1086	412
725	1087	410
726	1089	409
727	1090	407
728	1091	405
729	1091	403
730	1092	402
731	1093	400
732	1094	398
733	1094	396
734	1095	394
735	1096	393
736	1097	391
737	1097	389
738	1099	388
739	1100	386
740	1101	385
741	1103	383
742	1104	382
743	1105	380
744	1106	378
745	1107	377
746	1108	375
747	1109	373
748	1109	371
749	1111	370
750	1112	368
751	1113	367
752	1114	365
753	1115	363
754	1115	362
755	1116	360
756	1117	358
757	1119	357
758	1120	355
759	1121	354
760	1121	352
761	1122	350
762	1123	349
763	1124	347
764	1125	345
765	1126	343
766	1127	342
767	1127	340
768	1128	339
769	1129	337
770	1130	335
771	1130	334
772	1131	332
773	1132	330
774	1133	329
775	1134	327
776	1135	325
777	1136	324
778	1137	322
779	1138	321
780	1138	319
781	1139	317
782	1140	316
783	1141	314
784	1142	312
785	1142	311
786	1143	309
787	1144	307
788	1145	306
789	1146	304
790	1147	303
791	1148	301
792	1149	299
793	1150	298
794	1150	296
795	1151	295
796	1152	293
797	1153	291
798	1154	290
799	1155	288
800	1155	287
801	1156	285
802	1157	283
803	1158	282
804	1158	280
805	1159	279
806	1160	277
807	1161	275
808	1162	274
809	1163	272
810	1164	271
811	1164	269
812	1165	268
813	1166	266
814	1167	265
815	1168	263
816	1169	261
817	1169	260
818	1170	258
819	1171	257
820	1171	255
821	1172	253
822	1173	252
823	1174	250
824	1174	249
825	1175	247
826	1176	246
827	1177	244
828	1178	243
829	1179	241
830	1180	240
831	1181	238
832	1182	236
833	1183	235
834	1183	233
835	1184	232
836	1185	230
837	1186	229
838	1187	227
839	1187	226
840	1188	224
841	1189	223
842	1190	221
843	1190	220
844	1192	218
845	1193	217
846	1194	215
847	1195	214
848	1195	212
849	1196	211
850	1198	209
851	1198	208
852	1199	206
853	1200	205
854	1200	203
855	1201	202
856	1202	200
857	1202	199
858	1203	197
859	1204	196
860	1205	194
861	1206	193
862	1207	191
863	1208	190
864	1208	188
865	1209	187
866	1210	185
867	1211	184
868	1212	182
869	1213	181
870	1213	179
871	1214	178
872	1215	176
873	1216	175
874	1216	173
875	1217	172
876	1218	170
877	1219	169
878	1220	167
879	1220	166
880	1222	165
881	1223	163
882	1224	162
883	1224	160
884	1225	159
885	1226	157
886	1227	156
887	1227	154
888	1228	153
889	1229	151
890	1230	150
891	1230	149
892	1231	147
893	1232	146
894	1232	144
895	1233	143
896	1234	141
897	1235	140
898	1235	138
899	1237	137
900	1238	136
901	1239	134
902	1240	133
903	1241	131
904	1242	130
905	1243	128
906	1244	127
907	1244	126
908	1245	124
909	1246	123
910	1247	121
911	1248	120
912	1248	119
913	1249	117
914	1250	116
915	1252	114
916	1253	113
917	1254	112
918	1255	110
919	1256	109
920	1257	107
921	1257	106
922	1258	104
923	1259	103
924	1259	102
925	1260	100
926	1261	99
927	1262	97
928	1262	96
929	1263	95
930	1264	93
931	1264	92
932	1265	90
933	1267	89
934	1268	88
935	1269	86
936	1269	85
937	1270	83
938	1271	82
939	1272	81
940	1272	79
941	1273	78
942	1274	77
943	1274	75
944	1275	74
945	1276	72
946	1277	71
947	1277	70
948	1278	68
949	1279	67
950	1279	65
951	1280	64
952	1281	63
953	1282	61
954	1283	60
955	1284	59
956	1284	57
957	1285	56
958	1286	54
959	1287	53
960	1287	52
961	1288	50
962	1289	49
963	1289	48
964	1290	46
965	1291	45
966	1291	44
967	1292	42
968	1293	41
969	1293	40
970	1294	38
971	1295	37
972	1296	35
973	1297	34
974	1298	33
975	1299	31
976	1300	30
977	1301	29
978	1301	27
979	1302	26
980	1303	25
981	1303	23
982	1304	22
983	1305	21
984	1306	19
985	1306	18
986	1307	17
987	1308	15
988	1308	14
989	1309	13
990	1310	11
991	1311	10
992	1311	9
993	1312	7
994	1313	6
995	1314	5
996	1315	3
997	1315	2
998	1316	1
999	1317	0
